Record,Date,Value,Unit,ActivityID
1k Run,2026-06-15,3.6706166585286457,min,23260542824
1mile Run,2026-04-16,6.435800170898437,min,22550375372
5k Run,2026-06-12,22.21085001627604,min,23223298612
10k Run,2026-07-01,46.49331868489583,min,23444023692
Half Marathon,2026-05-10,1.8002446831597223,hour,22832386403
Farthest Run,2026-05-10,23.8957890625,km,22832386403
Farthest Cycle,2026-08-15,26.513349609375,km,23984659522
Max Elev,2026-08-08,537.0,metre,23902966789
Steps Best Day,,31260.0,steps,0
Steps Best Week,,137796.0,steps,0
Steps Best Month,,354729.0,steps,0
Steps Longest Streak,,6.0,days,0
Steps Current Streak,,3.0,days,0
